date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:52	59400/59400	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2021:07:02%20GMT	https://template.viserlab.com/callzen/demos/index-two.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/index-two.html	(from )
23:33:54	720/720	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2006:33:55%20GMT	https://template.viserlab.com/robots.txt		(from )
23:33:55	2122/2122	---M--	200	added ('OK')	image/png	date:Wed,%2018%20May%202022%2016:01:46%20GMT	https://template.viserlab.com/callzen/demos/assets/images/favicon/favicon.png	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/images/favicon/favicon.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:33:56	155805/155805	---MCZ	200	added ('OK')	text/css	date:Sat,%2023%20Apr%202022%2014:18:24%20GMT	https://template.viserlab.com/callzen/demos/assets/css/bootstrap.min.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/bootstrap.min.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:33:57	89220/89220	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2021:24:26%20GMT	https://template.viserlab.com/callzen/demos/assets/css/fontawesome-all.min.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/fontawesome-all.min.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:00	7998/7998	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20Jul%202022%2017:25:00%20GMT	https://template.viserlab.com/callzen/demos/assets/css/magnific-popup.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/magnific-popup.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:00	89728/89728	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2021:45:50%20GMT	https://template.viserlab.com/callzen/demos/assets/css/line-awesome.min.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/line-awesome.min.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:02	1893/1893	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2021:24:26%20GMT	https://template.viserlab.com/callzen/demos/assets/css/slick.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/slick.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:04	2107/2107	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20May%202022%2017:16:44%20GMT	https://template.viserlab.com/callzen/demos/assets/css/flaticon.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/flaticon.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:04	3399/3399	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2015:45:46%20GMT	https://template.viserlab.com/callzen/demos/assets/css/odometer.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/odometer.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:06	127652/127652	---MCZ	200	added ('OK')	text/css	date:Sun,%2017%20Jul%202022%2020:59:30%20GMT	https://template.viserlab.com/callzen/demos/assets/css/style.css	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/css/style.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:07	4516/4516	---M--	200	added ('OK')	image/png	date:Wed,%2018%20May%202022%2017:33:56%20GMT	https://template.viserlab.com/callzen/demos/assets/images/logo/logo.png	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/images/logo/logo.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:09	37050/37050	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:02:40%20GMT	https://template.viserlab.com/callzen/demos/about.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/about.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:09	94041/94041	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:56:02%20GMT	https://template.viserlab.com/callzen/demos/index.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/index.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:10	28567/28567	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:49:44%20GMT	https://template.viserlab.com/callzen/demos/services-details.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/services-details.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:11	21554/21554	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:02:32%20GMT	https://template.viserlab.com/callzen/demos/work.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/work.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:13	22906/22906	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:01:46%20GMT	https://template.viserlab.com/callzen/demos/pricing.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/pricing.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:14	73228/73228	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:40:00%20GMT	https://template.viserlab.com/callzen/demos/faq.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/faq.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:14	13312/13312	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:03:14%20GMT	https://template.viserlab.com/callzen/demos/error.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/error.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:16	24053/24053	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:03:04%20GMT	https://template.viserlab.com/callzen/demos/blog.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/blog.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:16	26781/26781	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:41:54%20GMT	https://template.viserlab.com/callzen/demos/blog-classic.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/blog-classic.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:18	33745/33745	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:50:14%20GMT	https://template.viserlab.com/callzen/demos/services.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/services.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:18	29489/29489	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:42:56%20GMT	https://template.viserlab.com/callzen/demos/blog-details.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/blog-details.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:18	17347/17347	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:44:16%20GMT	https://template.viserlab.com/callzen/demos/contact.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/contact.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:20	17957/17957	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:01:54%20GMT	https://template.viserlab.com/callzen/demos/registration.html	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/registration.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:22	326/326	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2016:28:18%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/cross.png	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/images/home-01/cross.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:23	420/420	---M--	200	added ('OK')	image/png	date:Thu,%2019%20May%202022%2016:54:18%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/shape-square.png	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/images/home-01/shape-square.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:23	557/557	---M--	200	added ('OK')	image/png	date:Thu,%2019%20May%202022%2016:53:56%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/shape-circle.png	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/images/home-01/shape-circle.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
23:34:26	357/357	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2016:28:30%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/cross-two.png	D:/New%20front%20project/ProjectSession2024/trelineadvisory/template.viserlab.com/callzen/demos/assets/images/home-01/cross-two.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
